fichier,siren,cloture,nom,ville,label,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,emprunts,total_bilan,subv_pct,masse_sal_pct,fp_bilan_pct,etp,cac_certifie,statut,cac_certification_qualite,concentration_financeurs,notes,input_tokens,output_tokens,cost_usd,error
334820230_31122022.pdf,334820230,2022-12-31,GREP - Groupe pour l'Emploi des Probationnaires,Lyon,1,808449,-148758,-159986,400938,30224,0,1092736,37,76,37,18.0,true,deficit,certifie_sans_reserve,,"Déficit important de 160k€ malgré certification CAC sans réserve. L'association détient 100% de la filiale SAS GREP INTERIM, créance compte courant de 353k€.",23316,311,0.07461,
335322483_31122022.pdf,335322483,2022-12-31,Association Les Musiciens du Louvre,Grenoble,1,2336099,-149483,-129933,269207,541133,150682,638670,19,73,42,14.67,true,deficit,certifie_sans_reserve,,"Association de production/diffusion de concerts de musique baroque. Financement dépendant des partenaires institutionnels (État-Région), avec alerte du CAC sur non-respect de l'obligation de publicité des comptes et provision indemnités départ retraite de 21 406€.",37990,326,0.11886,
339038721_31122021.pdf,339038721,2021-12-31,ASSOCIATION TUTELAIRE LA CROIX MARINE,,1,3194633,-37090,-41083,618847,1064859,295932,1361817,82,76,45,,false,deficit,,,"Déficit d'exploitation de -37k€ et déficit net de -41k€ en 2021 après un excédent de 23k€ en 2020. Les subventions représentent 82% des produits (2,6M€), la masse salariale 76% des charges.",10339,321,0.03583,
339038721_31122022.pdf,339038721,2022-12-31,CROIX MARINE DE LA REUNION,,1,3334271,-20061,-19976,709681,1010286,469701,1617629,94,80,44,,false,deficit,,,"Association dépendante à 94% des subventions publiques. Déficit de 19 976 € en 2022, amélioration par rapport au déficit de 41 083 € en 2021.",8951,295,0.03128,
340223338_31122022.pdf,413612979,2022-12-31,ASSOCIATION CRECHE ST JACQUES,TOULON,1,292917,-56775,-55048,-42888,62538,0,63543,77,79,-67,10.0,false,deficit,,0.88,Association en grande difficulté financière avec perte de 55k€ et fonds propres négatifs de -43k€. La Mairie de Toulon doit accorder une subvention exceptionnelle de 50k€ en 2023 pour combler le besoin en fonds de roulement.,41929,326,0.13068,
340223338_31122023.pdf,340223338,2023-12-31,ASSOCIATION CRECHE ST JACQUES,TOULON,1,321576,-14764,-13333,-56222,56532,0,59057,18,81,-95,,false,deficit,,,"Situation financière très dégradée avec fonds propres fortement négatifs (-56k€) aggravés par le déficit de l'exercice (-13k€). Forte dépendance à la CAF (166k€, 52% des produits) avec baisse des participations parentales et hausse significative des subventions d'exploitation (+150%).",32691,329,0.10301,
343873295_31122023.pdf,343873295,2023-12-31,INST TECHNI DEVELOP PRODUITS MER,LORIENT,1,1891248,-198815,-64242,905539,2643,175227,1964790,18,34,46,17.0,false,deficit,,0.64,Déficit net de -64K€ faisant suite à un déficit de -85K€ en 2022. La continuité d'exploitation est conditionnée par un résultat au moins à l'équilibre en 2024 selon l'annexe. Rééchelonnement du passif chirographaire et du PGE obtenu en 2023.,151373,344,0.45928,
347758591_31122022.pdf,34775859,2022-12-31,ASSOCIATION RADIO VASSIVIERE,ROYERE-DE-VASSIVIERE,1,249325,-2527,5120,94712,120463,0,229887,96,66,41,,false,ambigu,,0.38,Déficit d'exploitation de -2 527€ compensé par produits exceptionnels (8 967€) donnant un excédent net de 5 120€. Association sous redressement judiciaire avec plan de continuation accepté en 2015. Forte dépendance aux subventions publiques (96%).,56236,333,0.1737,
347820524_31122021.pdf,347820524,2021-12-31,ASSOCIATION SERVIR,VALDOIE,1,3628654,-1846681,-1846681,-938323,55741,925841,2764905,54,56,-34,38.9,false,deficit,,,Situation financière très dégradée avec fonds propres négatifs (-938k€) et déficit important (-1 847k€). Perte de 500k€ en provisions exceptionnelles. Continuité d'exploitation menacée.,19777,309,0.06397,
351303474_31122022.pdf,351303474,2022-12-31,Association MJC CS LA FABRIQUE,,1,1189287,-214585,-128175,-84176,16434,122190,373676,41,57,-23,,false,deficit,,,Situation financière très dégradée avec fonds propres négatifs de -84 176 € et déficit important de 128 175 €. Résultat d'exploitation lourdement déficitaire (-214 585 €) partiellement compensé par un résultat exceptionnel positif de 87 365 €.,11548,321,0.03946,
354060600_31122021.pdf,354060600,2021-12-31,ACADEL,Marseille,1,1589223,-37432,-41873,226230,551988,0,981955,81,65,23,,false,deficit,,,Déficit de 41 873€ en 2021 après un déficit de 256 503€ en 2020. Forte dépendance aux subventions publiques (81% des produits) qui ont baissé de 12.88%. Situation nette négative de -104 301€ malgré des subventions d'investissement de 330 531€.,11916,330,0.0407,
354060600_31122022.pdf,354060600,2022-12-31,ACADEL,Marseille,1,1652458,-134031,-35455,238903,206232,0,829354,75,64,29,,false,deficit,,,"Déficit d'exploitation de -134K€ malgré 1,24M€ de subventions publiques. Résultat exceptionnel positif de 98K€ (reprise provisions 90K€) limite le déficit net à -35K€.",11855,302,0.0401,
378354104_31122021.pdf,378354104,2021-12-31,TRICOT COUTURE SERVICE,Vandoeuvre-lès-Nancy,1,697870,-71017,-47097,34572,55222,16288,187237,80,82,18,41.0,false,deficit,,,"Fort déficit d'exploitation de 71k€ lié à la crise COVID (baisse d'activité 30%) et aux coûts de création du nouveau chantier C2i en 2021. PGE de 41k€ accordé pour couvrir le déficit, continuité tributaire du développement du CA des chantiers en 2022.",38986,340,0.12206,
378354104_31122022.pdf,378354104,2022-12-31,TRICOT COUTURE SERVICE,VANDOEUVRE LES NANCY,1,841227,-18698,-13156,21416,83632,37312,231887,74,84,9,,true,deficit,certifie_sans_reserve,,Déficit d'exploitation de 18 698 € malgré des subventions importantes (619 513 €). L'association a accueilli 4 personnes déplacées ukrainiennes depuis avril 2022 et prévoit un développement de l'activité commerciale avec l'embauche d'Adeline GUYOT.,35507,336,0.11156,
378354104_31122023.pdf,378354104,2023-12-31,TRICOT COUTURE SERVICE,VANDOEUVRE LES NANCY,1,1069045,-61482,-54035,46948,30807,46369,256458,79,83,18,25.26,false,deficit,,0.69,"Déficit important de 54K€ en 2023 lié à des frais exceptionnels de déménagement et réorganisation. Association d'insertion dépendant fortement (79%) des subventions publiques, notamment ASP ACI et FSE Europe.",67869,317,0.20836,
380134205_31122022.pdf,380134250,2022-12-31,ASSOCIATION FORUM NICE NORD,NICE,1,864864,,-27754,148868,256155,0,287465,,,52,,true,deficit,certifie_sans_reserve,,Le commissaire aux comptes certifie sans réserve les comptes de l'exercice clos le 31/12/2022. Aucune convention réglementée n'a été signalée.,27143,296,0.08587,
380134205_31122023.pdf,38013420500018,2023-12-31,ASSOCIATION FORUM NICE NORD,NICE,1,382493,-87284,-78877,69992,159082,0,214110,50,44,33,,false,deficit,,0.79,"Forte baisse de la subvention ville de Nice (-54k€ à 150k€) et arrêt d'autres subventions (17k€). Provision de 73,8k€ pour litige avec M. Tedeschi. Discussions en cours avec la Ville de Nice pour une subvention exceptionnelle de 130k€ en remplacement de la subvention annuelle.",51237,344,0.15887,
383899903_30062021.pdf,383899903,2021-06-30,AMIENS PICARDIE HANDBALL,AMIENS,1,325780,42376,33323,-89811,99543,0,226685,68,31,-40,,true,excedent,certifie_sans_reserve,,"Fonds propres négatifs (-89 811 €) mais amélioration de 33 323 € sur l'exercice. Accord transactionnel suite à contrôle fiscal 2016-2019, reste 158 K€ à payer sur 81 échéances.",47486,320,0.14726,
384175121_31122021.pdf,384175121,2021-12-31,IDé,,1,1148095,-5529,-735,-137070,193,29379,685361,41,54,-20,,false,deficit,,,"Association en situation nette négative de -137 070 €, aggravée par rapport à 2020 (-136 336 €). Trésorerie très faible (193 €) malgré des dettes fournisseurs élevées (566 950 €).",8841,299,0.03101,
384175121_31122022.pdf,384175121,2022-12-31,Association IDé,VALENTIGNEY,1,1342511,-12772,-14545,-125606,103782,0,786409,38,49,-16,,true,deficit,certifie_sans_reserve,,"Situation financière dégradée avec fonds propres négatifs de -125 606 € suite à pertes cumulées. Dette importante envers DEFI s'élevant à 223 K€, avec moratoire et abandon de créance conditionnel.",48091,309,0.14891,
384175121_31122023.pdf,384175121,2023-12-31,Association IDé,VALENTIGNEY,1,1367856,-44778,-12906,-139554,116599,0,786409,36,50,-18,,true,deficit,certifie_sans_reserve,,Association en difficulté avec fonds propres négatifs (-139 554 €) et déficit récurrent. Dépend fortement des subventions publiques (485 758 €) et présente un déséquilibre structurel d'exploitation.,35507,307,0.11113,
387671175_31122021.pdf,387671175,2021-12-31,Association de Formation et d'Insertion Gardoise Sud,Nimes,1,1477724,189321,181935,543002,415587,331974,1248294,22,75,43,27.0,true,excedent,certifie_sans_reserve,,Hausse forte des subventions d'exploitation (+539%). Association réactive à la crise sanitaire avec adaptation interne et développement de l'EAD. Réorganisation de direction en cours post-clôture.,32055,312,0.10085,
387671175_31122023.pdf,387671175,2023-12-31,ASSOCIATION DE FORMATION ET D'INSERTION GARDOISE - SUD,NIMES,1,1031615,-266865,-283681,342681,102108,245701,898838,38,69,38,23.0,true,deficit,alerte_continuite_exploitation,0.18,Association en difficultés financières importantes avec déficit de 283 681€ en 2023. Procédure de redressement judiciaire ouverte le 05/04/2024 pour 6 mois. Incertitude significative liée à la continuité d'exploitation.,30788,334,0.09737,
389747817_31122021.pdf,389747817,2021-12-31,TRANS-FORME,PARIS,1,646806,-24374,-24166,-149919,14140,83000,572226,33,35,-26,,false,deficit,,,Association en difficulté financière avec fonds propres négatifs (-149 919€) et déficit récurrent. Important engagement bénévole valorisé à 452 463€.,11870,282,0.03984,
389747817_31122022.pdf,389747817,2022-12-31,TRANS-FORME,PARIS,1,602278,-185857,-188291,-338210,15510,125938,523240,16,35,-65,,false,deficit,,,Association en situation financière très difficile avec fonds propres négatifs de -338 210 € et déficit de -188 291 €. Forte détérioration par rapport à 2021 avec baisse des subventions publiques (-53%) et des prestations de services (-32%).,11904,307,0.04032,
390695039_31122021.pdf,390695039,2021-12-31,Association REAGIR,LESTREM,1,1046761,9296,10101,167297,134213,158683,496930,66,78,34,,true,excedent,certifie_sans_reserve,,"Association d'insertion créée en 1993, avec chantiers de maraîchage bio et entretien environnement. Situation financière saine avec 34% de fonds propres et forte trésorerie de 134k€.",92135,307,0.28101,
390695039_31122022.pdf,390695039,2022-12-31,Association RéAgir,Lestrem,1,,,-84908,33823,,,,,,,,false,deficit,,,"Déficit de 84 908,30€ en 2022 avec fonds propres réduits à 33 823,03€. Difficultés financières mentionnées avec demande de redressement judiciaire en cours.",7193,284,0.02584,
391480142_31122020.pdf,39148014200010,2020-12-31,ASS LES PIT'CHOUNS,FLERS,1,250784,-6530,-7063,67308,105825,0,123239,75,78,55,,true,deficit,certifie_sans_reserve,0.57,Association de gestion de crèche. Déficit lié à l'impact de la crise Covid-19 avec fermetures et réouvertures partielles. Bonne situation financière avec 55% de fonds propres et trésorerie de 105 825€.,79551,325,0.24353,
391480142_31122021.pdf,391480142,2021-12-31,ASS LES PIT'CHOUNS,FLERS,1,259030,-25763,-20596,53960,50805,0,105533,74,77,51,6.45,true,deficit,certifie_sans_reserve,,"Déficit de 20 596€ aggravé par la crise COVID (fermeture avril 2021, chômage partiel). Indemnité départ retraite provisionnée à 10 753€. Fonds propres couvrant 51% du bilan, trésorerie saine.",97738,328,0.29813,
391777356_30062022.pdf,39177735600018,2022-06-30,ASSOCIATION TOULOUSE XIII,TOULOUSE,1,457906,23668,-2868,130768,34644,0,175642,73,36,74,6.0,true,ambigu,certifie_sans_reserve,0.47,Résultat d'exploitation excédentaire de 23 668€ mais déficit financier de 39 125€ entraînant un déficit net de 2 868€. Fusion absorption avec l'association Toulouse XIII ELITE prévue au 01/07/2022.,29215,327,0.09255,
398694570_31122022.pdf,398694570,2022-12-31,VIES - VEXIN INSERTION EMPLOI SOLIDARITE,BORD'HAUT DE VIGNY,1,1124141,2995,15080,562248,505632,408,720585,15,85,78,,true,excedent,certifie_sans_reserve,,Association intermédiaire spécialisée dans l'insertion par l'emploi. Recentrage des actions RSA en 2022 sur l'accompagnement d'associations intermédiaires. Projet de fusion-absorption avec ADETHE Services au 01/01/2023.,56499,340,0.1746,
398694570_31122023.pdf,398694570,2023-12-31,VIES - VEXIN INSERTION EMPLOI SOLIDARITE,BORD'HAUT DE VIGNY,1,1794363,80605,112338,1123688,1053285,0,1308077,10,86,86,,true,excedent,certifie_sans_reserve,,Fusion-absorption rétroactive au 01/01/2023 intégrant 2 salariés permanents et 19 salariés en insertion. Provisions pour litiges fournisseurs (10 054€) et locaux Vigny (6 128€).,56583,341,0.17486,
402283543_31122022.pdf,402283543,2022-12-31,Association CLAP SUD OUEST,BORDEAUX,1,1988612,6105,2601,86613,209300,84402,954468,97,58,9,,true,excedent,certifie_sans_reserve,0.5,Forte dépendance aux subventions publiques (97% des produits). Trésorerie saine avec 209k€ de disponibilités. Subvention FAMI de 654k€ obtenue en juin 2023 comptabilisée en produit à recevoir (190k€).,38653,333,0.12095,
402283543_31122023.pdf,402283543,2023-12-31,CLAP SUD OUEST,BORDEAUX,1,1930073,-11570,-48971,37642,3258,5703,624713,83,68,6,,true,deficit,alerte_continuite_exploitation,0.54,"Procédure de redressement judiciaire ouverte le 11 juin 2024. Baisse significative des fonds propres passant de 86 613 € en 2022 à 37 642 € en 2023, témoignant de difficultés financières importantes.",38653,324,0.12082,
402283543_31122024.pdf,402283543,2024-12-31,Association Comité de Liaison des Acteurs de la Promotion Sud-Ouest,LORMONT,1,1312709,-395332,-400875,-363233,149548,108618,642775,92,65,-56,,false,deficit,alerte_continuite_exploitation,,"Association en grande difficulté financière : fonds propres négatifs de -363k€, déficit de -401k€. Procédure de redressement judiciaire ouverte le 11 juin 2024, dettes présentées brutes au bilan en attente du plan définitif.",38653,334,0.12097,
404149932_31122022.pdf,404149932,2022-12-31,Association Centre Social Promesses,WATTIGNIES,1,501151,7157,1385,234740,215103,0,389497,91,72,60,11.92,true,excedent,certifie_sans_reserve,0.398,Provision pour indemnités départ retraite de 62 887€. Provision pour litige de 15 000€ en attente de jugement reporté en 2023. Mise à disposition gratuite de locaux par la mairie valorisée à 77 088€.,49162,323,0.15233,
404862294_31122022.pdf,404862294,2022-12-31,Association FACE METROPOLE EUROPEENNE DE LILLE,LILLE,1,930967,72596,12955,-62386,210546,3610,398446,71,63,-16,16.42,false,excedent,,0.3,Fonds propres négatifs (-62 386 €) malgré un résultat positif. Provision pour risques de 94 000 € suite à un trop-perçu FSE partiellement remboursé (reste dû 12 110 €). Charge exceptionnelle de 61 066 € constatée sur solde FSE non touché.,66672,348,0.20524,
404862294_31122023.pdf,404862294,2023-12-31,Association FACE METROPOLE EUROPEENNE DE LILLE,LILLE,1,900676,-47736,-51772,-123988,108655,40269,322363,83,62,-38,21.0,false,deficit,,0.29,Situation financière dégradée avec fonds propres négatifs (-123 988 €) et déficit net de -51 772 €. Forte dépendance aux subventions publiques (83% des produits) avec une baisse des produits constatés d'avance de 150 807 €.,62131,332,0.19137,
404862294_31122024.pdf,404862294,2024-12-31,Association FACE MEL,LILLE,1,1075459,-53570,-102603,-227352,72123,26331,310275,62,56,-73,20.0,false,deficit,,0.31,Déficit de 102 K€ aggravé par un litige salarié (147 K€ payables). Continuité d'exploitation incertaine malgré campagne de dons (33 K€ reçus début 2025).,62581,310,0.19239,
412542326_31122022.pdf,412542326,2022-12-31,AAPPUI,,1,2917859,-130114,-299643,-1236904,6565,375199,402249,0,77,-308,,false,deficit,,,"Situation financière très dégradée : fonds propres fortement négatifs (-1,2M€), déficit cumulé et déficit net important (-300k€). Forte dépendance aux financements courts avec dettes sociales et fiscales élevées (610k€).",12819,306,0.04305,
418355079_31122024.pdf,418355079,2024-12-31,Association Le Maillon,ISTRES,1,953499,37372,37336,120464,14641,17965,264146,71,74,46,32.0,true,excedent,certifie_sans_reserve,0.61,Association en redressement judiciaire selon l'annexe. Forte dépendance aux subventions publiques (71% des produits). Situation financière fragile malgré le résultat positif de l'exercice.,24496,312,0.07817,
420609182_31122022.pdf,420609182,2022-12-31,ASSOCIATION ADAM,NICE,1,1754346,299617,29979,580872,426469,0,814358,71,62,71,,true,excedent,certifie_sans_reserve,,"Association en redressement judiciaire depuis septembre 2013, 8ème échéance de remboursement effectuée en septembre 2022. Forte croissance des produits (+91%) portée par les subventions d'exploitation (+127%).",32258,306,0.10136,
420609182_31122023.pdf,420609182,2023-12-31,Association ADAM,Nice,1,1536162,32328,25241,520789,428145,0,725229,71,73,72,44.0,true,excedent,certifie_sans_reserve,,Association en redressement judiciaire depuis 2013. Perte d'adhésions et participations centre de loisirs s'élevant à 18 082 € en 2023. Comptes annuels fournis avec retard au 30/06/2024.,37080,314,0.11595,
420609182_31122024.pdf,420609182,2024-12-31,Association ADAM,NICE,1,1265738,166853,1081,314352,211860,102,501753,62,75,63,34.0,true,excedent,certifie_sans_reserve,,Association en redressement judiciaire soldé en 2024. Forte dépendance aux subventions (62% des produits). Situation financière nettement améliorée avec reconstitution des fonds propres.,35507,302,0.11105,
421376468_31122022.pdf,421376468,2022-12-31,ASSOCIATION PRACTHIS,Paris,1,559038,11065,9471,476609,439678,0,439678,17,97,108,4.8,true,excedent,certifie_sans_reserve,,Association d'insertion professionnelle pour personnes handicapées. Forte autonomie financière avec 90% de trésorerie au bilan et 17% de subventions. Résultat net positif de 9 471€.,24496,308,0.07811,
421376468_31122023.pdf,421376468,2023-12-31,ASSOCIATION PRACTHIS,Paris,1,598360,17061,18195,302316,302316,80590,409848,21,70,74,4.5,true,excedent,certifie_sans_reserve,,Association accompagnant l'insertion professionnelle de personnes handicapées. Situation financière saine avec fonds propres représentant 74% du bilan et trésorerie équivalente aux fonds propres.,41799,305,0.12997,
421376468_31122024.pdf,421376468,2024-12-31,ASSOCIATION PRACTHIS,Paris,1,591741,,-6938,48535,123143,0,385967,15,91,13,6.0,true,deficit,certifie_sans_reserve,,Association d'insertion professionnelle de personnes handicapées. Déficit de 6 938 € en 2024 après dotation aux provisions pour retraites de 2 790 €. Certification sans réserve par CAC.,24496,305,0.07806,
423855535_31122022.pdf,423855535,2022-12-31,Association MAISONS DE MODE,ROUBAIX,1,705823,-116163,-118546,-32022,9310,55263,214294,87,57,-15,8.0,false,deficit,,0.48,"Situation financière très dégradée : fonds propres négatifs (-32k€), déficit net important (-119k€), forte dépendance aux subventions publiques (87% des produits). Baisse significative des produits de 22% par rapport à 2021.",129368,320,0.3929,
433580198_31122020.pdf,433580198,2020-12-31,Association Objectif Emploi,Tourcoing,1,400589,49925,50324,-20431,80197,118,219757,95,69,-9,5.0,true,excedent,certifie_sans_reserve,0.43,"L'association applique pour la première fois le règlement ANC 2018-06. Malgré un résultat net positif de 50 324 euros, les fonds propres restent négatifs à -20 431 euros en fin d'exercice.",49412,323,0.15308,
434537635_31122021.pdf,434537635,2021-12-31,EPONA,Fontaine,1,2397317,-35340,-25675,134060,156087,0,658502,92,60,20,,true,deficit,certifie_sans_reserve,,Déficit de 25 675 € malgré un contexte COVID difficile. L'association a maintenu sa mission de service public sans impacter la qualité de l'accompagnement des jeunes.,48091,292,0.14865,
434537635_31122022.pdf,434537635,2022-12-31,EPONA,FONTAINE,1,2244130,-181479,-196426,-110675,4920,65667,487640,94,62,-23,,true,deficit,certifie_sans_reserve,,"Association en situation de fonds propres négatifs (-110 675€) et déficit important (-196 426€). Forte dépendance aux subventions publiques (94% des produits) avec notamment 2,1M€ de concours publics et subventions d'exploitation.",46518,314,0.14426,
434537635_31122023.pdf,434537635,2023-12-31,Association EPONA,Fontaine,1,3163832,114930,106546,-41355,62556,24910,549464,93,60,-8,,true,excedent,certifie_sans_reserve,,"Résultat positif de 106 546 € permettant d'améliorer des fonds propres toujours négatifs (-41 355 €). Forte dépendance aux subventions publiques (93% des produits). Changement de présidence lors de l'assemblée générale (démission de Mme GEHENDEZ, nomination de M. PICARD).",24496,341,0.0786,
439887662_31122021.pdf,439887662,2021-12-31,SAOME,ETANG-SALE LES HAUTS,1,1254213,2553,11589,221986,359962,42514,489622,77,70,45,,true,excedent,certifie_sans_reserve,,Association de santé addictions financée principalement par subventions ARS (966 655€) et autres subventions publiques. Immobilisations corporelles en augmentation avec des acquisitions de matériel de bureau et informatique.,41799,313,0.13009,
439887662_31122022.pdf,439887662,2022-12-31,SAOME,ETANG-SALE LES HAUTS,1,1270615,-1050,-400,219475,307256,163,439086,81,66,50,,true,deficit,certifie_sans_reserve,0.999,Déficit de 400€ malgré 1M€ de subventions publiques (81% produits). Baisse d'activité vs 2021 avec recul des subventions de 50k€.,43372,311,0.13478,
439887662_31122023.pdf,439887662,2023-12-31,SAOME,ETANG-SALE LES HAUTS,1,1328482,-5832,-1529,358130,239511,0,384158,82,63,93,,false,deficit,,,Association de santé financée principalement par subventions publiques (82%). Déficit d'exploitation de 5 832 euros et résultat net déficitaire de 1 529 euros malgré un produit financier de 4 303 euros.,19777,310,0.06398,
440665842_31122022.pdf,440665842,2022-12-31,ASSA SPN ASSO,POITIERS,1,821061,-116598,-103209,151420,42441,88919,379924,66,54,40,,false,deficit,,0.4,Déficit important de -103k€ en 2022 (contre -15k€ en 2021). Forte dégradation du résultat d'exploitation due à une baisse des prestations de services et à des problèmes de recrutement. Erosion des fonds propres qui passent de 255k€ à 151k€.,73367,331,0.22507,
449666148_31122021.pdf,449666148,2021-12-31,LES PETITS DEBROUILLARDS - GRAND EST MAXEVILLE,MAXEVILLE,1,1378951,30314,29444,192347,248933,0,871437,54,64,22,,false,excedent,,,Association d'éducation scientifique. Forte dépendance aux subventions publiques (54%). Situation financière saine avec trésorerie confortable.,44945,294,0.13925,
449666148_31122023.pdf,449666148,2023-12-31,LES PETITS DEBROUILLARDS DU GRAND EST,MAXEVILLE,1,1626896,-131872,-103996,82259,332983,173562,1188464,41,65,7,33.38,false,deficit,certifie_sans_reserve,0.188,Déficit d'exploitation de 131 872€ et résultat net négatif de 103 996€. Situation financière fragile avec fonds propres représentant seulement 7% du total bilan et trésorerie tendue malgré 332 983€ disponibles.,48091,337,0.14933,
479605941_31122022.pdf,479605941,2022-12-31,JETS D'ENCRE,PARIS,1,349846,-15207,-15207,-3120,22471,0,76527,76,40,-4,,true,deficit,certifie_sans_reserve,0.76,"Association en déficit important avec fonds propres négatifs (-3 120 €), nécessitant une vigilance sur la continuité d'exploitation. Le CAC certifie sans réserve les comptes.",40990,299,0.12746,
