siren,date_jugement,nature_jugement,famille_jugement
439721887,2024-06-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
485387781,2024-06-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
775446263,2024-06-27,Jugement de plan de redressement,Extrait de jugement
853445997,2024-06-28,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
414309732,2024-07-01,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
810117879,2024-07-01,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
812275345,2024-07-02,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
904320777,2024-07-03,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
325559870,2024-07-05,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
812859627,2024-07-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
878810092,2024-07-11,Autre jugement prononçant,Jugement prononçant
808279947,2024-07-18,Autre jugement prononçant,Jugement prononçant
788352771,2024-08-06,Jugement arrêtant le plan de sauvegarde,Extrait de jugement
800659138,2024-08-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
832999098,2024-08-06,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
517785366,2024-09-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
313553281,2024-09-09,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
811798065,2024-09-13,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
823946330,2024-09-18,Dépôt de l'état des créances,Avis de dépôt
434587226,2024-09-20,Jugement de conversion en liquidation judiciaire,Jugement prononçant
334955523,2024-09-24,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
379077175,2024-09-24,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
440238236,2024-09-24,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
829279512,2024-09-30,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
892151192,2024-10-02,Dépôt de l'état des créances,Avis de dépôt
421723800,2024-10-04,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
439340159,2024-10-04,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
811454529,2024-10-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
782151732,2024-10-14,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
789401205,2024-10-14,Dépôt de l'état des créances,Avis de dépôt
924922776,2024-10-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
310438536,2024-10-17,Autre jugement et ordonnance,Extrait de jugement
385314646,2024-10-17,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
449269018,2024-10-31,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
893819367,2024-11-07,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
478646797,2024-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
508627205,2024-11-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
845217124,2024-11-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
835327313,2024-11-14,Autre jugement prononçant,Jugement prononçant
802490888,2024-11-18,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
343283966,2024-11-26,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
837659309,2024-11-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
849443270,2024-11-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
519850283,2025-01-17,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
842796641,2025-01-28,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
487527657,2025-01-29,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
538479130,2025-02-03,Dépôt de l'état des créances,Avis de dépôt
421133398,2025-02-07,Dépôt de l'état des créances,Avis de dépôt
801210311,2025-02-07,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
409161486,2025-02-13,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
435051321,2025-02-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
789278967,2025-02-13,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
842819823,2025-02-13,Autre jugement prononçant,Jugement prononçant
813199502,2025-02-20,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
421576422,2025-02-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
922864509,2025-02-24,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
891182792,2025-02-27,Autre jugement prononçant,Jugement prononçant
922813019,2025-03-06,Autre jugement prononçant,Jugement prononçant
800979601,2025-03-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
502244288,2025-03-20,Dépôt de l'état des créances,Avis de dépôt
447784315,2025-03-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
510064744,2025-03-31,Autre jugement et ordonnance,Extrait de jugement
834982126,2025-03-31,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
902932284,2025-04-04,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
784180440,2025-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
408761005,2025-04-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
888733912,2025-04-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
538650698,2025-04-30,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
490529773,2025-05-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
833711500,2025-05-13,Dépôt de l'état des créances Loi de 1985,Avis de dépôt
879233674,2025-05-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
890285505,2025-05-14,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
305240681,2025-05-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
848097218,2025-05-16,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture
420452864,2025-05-23,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
431414895,2025-05-26,Dépôt de l'état des créances,Avis de dépôt
307509117,2025-05-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
429830409,2025-05-27,Jugement de clôture pour extinction du passif,Jugement de clôture
901949255,2025-05-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
535208052,2025-05-28,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
303697940,2025-06-03,Autre jugement et ordonnance,Extrait de jugement
518911623,2025-06-04,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
838188217,2025-06-04,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
505179218,2025-06-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
928919950,2025-06-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
522678507,2025-06-12,Autre jugement prononçant,Jugement prononçant
481657195,2025-06-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
849729462,2025-06-19,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
341026862,2025-06-24,Jugement de clôture pour extinction du passif,Jugement de clôture
504543877,2025-06-24,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
329970743,2025-06-26,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
904518222,2025-06-26,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
378692982,2025-06-27,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
332802313,2025-06-30,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
402550784,2025-07-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
421649591,2025-07-03,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
300882024,2025-07-04,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
820507549,2025-07-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
804939049,2025-07-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
890959612,2025-07-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
390100923,2025-07-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
517991154,2025-07-10,Jugement de conversion en liquidation judiciaire,Jugement prononçant
799426473,2025-07-11,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
514032895,2025-07-17,Dépôt de l'état des créances,Avis de dépôt
895235430,2025-07-24,Autre jugement de clôture,Jugement de clôture
402542534,2025-07-29,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
853313419,2025-07-30,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
911949501,2025-07-31,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
454028242,2025-08-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
824565469,2025-08-13,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
904862299,2025-08-20,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
923262802,2025-08-29,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
354049645,2025-09-11,Autre jugement prononçant,Jugement prononçant
828226704,2025-09-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
420208779,2025-09-17,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
885190819,2025-09-23,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
922970546,2025-09-23,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
891869927,2025-10-09,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
888429040,2025-10-16,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
877978437,2025-10-24,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
923217640,2025-11-14,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
839226057,2025-11-24,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
923443378,2025-11-28,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
409908704,2026-01-06,Autre jugement et ordonnance,Extrait de jugement
800481145,2026-01-14,Jugement d'extension d'une procédure de redressement judiciaire,Jugement d'ouverture
384651105,2026-01-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
804230696,2026-01-19,Autre jugement et ordonnance,Extrait de jugement
822018511,2026-01-19,Autre jugement et ordonnance,Extrait de jugement
923875405,2026-01-19,Autre jugement et ordonnance,Extrait de jugement
803492693,2026-01-20,Autre jugement et ordonnance,Extrait de jugement
410659478,2026-01-26,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture
751751900,2026-01-29,Autre jugement et ordonnance,Extrait de jugement
331552034,2026-01-30,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
919775411,2026-02-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
831742168,2026-02-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
909107310,2026-02-13,Autre jugement et ordonnance,Extrait de jugement
848526695,2026-02-16,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
878548171,2026-02-17,Autre jugement et ordonnance,Extrait de jugement
533681540,2026-02-19,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
353724321,2026-02-20,Autre jugement et ordonnance,Extrait de jugement
477728901,2026-02-20,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
488611369,2026-02-24,Autre jugement et ordonnance,Extrait de jugement
412578627,2026-02-26,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
830139366,2026-02-26,Autre jugement et ordonnance,Extrait de jugement
825335037,2026-02-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
800364150,2026-03-03,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
811634427,2026-03-18,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
839375136,2026-03-18,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
891074619,2026-03-18,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
805305851,2026-03-26,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
843490129,2026-03-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
905118550,2026-03-27,Jugement d'extension d'une procédure de redressement judiciaire,Jugement d'ouverture
300110392,2026-03-31,Autre jugement et ordonnance,Extrait de jugement
521945394,2026-03-31,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
853963502,2026-03-31,Autre jugement et ordonnance,Extrait de jugement
319606331,2026-04-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
890759152,2026-04-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
924289200,2026-04-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
312629710,2026-04-07,Autre jugement et ordonnance,Extrait de jugement
832068654,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
909163941,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
918068875,2026-04-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
923178503,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
923186787,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
319588679,2026-04-09,Autre jugement et ordonnance,Extrait de jugement
819596123,2026-04-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
832572689,2026-04-09,Autre jugement et ordonnance,Extrait de jugement
893641902,2026-04-09,Autre jugement et ordonnance,Extrait de jugement
412243784,2026-04-13,Autre jugement et ordonnance,Extrait de jugement
332618131,2026-04-14,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture
879360014,2026-04-14,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
501971568,2026-04-29,Autre jugement et ordonnance,Extrait de jugement
