siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id,nom_officiel,nature_juridique,tranche_effectif,activite_principale,categorie,etat
419773213,ASSOCIATION SPORTIVE GOLFPART D’ALLAUCH (A.S.G.A.),Aix-en-Provence Cedex 3,13594,13,2022-12-06,2022-11-25,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202362860,ASSOC SPORTIVE GOLF PART ALLAUCH,9220,NN,93.12Z,PME,A
850852823,ASSOCIATION A CAT IN THE MOON,Paris,75014,75,2022-02-06,2022-01-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202200262263,A CAT IN THE MOON,9220,NN,82.19Z,,A
447713926,ASSOCIATION CENTRE DE FORMATION D’APPRENTIS DE LA POISSONNERIE DU MARCHE INTERNATIONAL DE RUNGIS,Rungis,94150,94,2022-12-04,2022-11-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202352763,ASS C.F.A. DE LA POISSONNERIE,9220,NN,85.32Z,,C
306460791,ASSOCIATION SARCELLES JEUNES,Sarcelles,95200,95,2021-12-03,2021-11-23,Jugement prononçant la résolution du plan de redressement et la liquidation judiciaire,Extrait de jugement,A202102352836,ASS SARCELLES JEUNES,9220,NN,94.99Z,PME,A
402388714,"L’ASSOCIATION PROJET THELEME, LA SCI DOMAINE DU HOUVRE, LA SCEA LA COUR DE FRANCE",Pierrefitte-en-Auge,14130,14,2022-12-01,2022-10-20,Autre arrêt de la Cour d'Appel,Arrêt de la Cour d'Appel,A2022023313,ASSOCIATION PROJET THELEME,9220,NN,94.99Z,PME,A
814337242,ASSOCIATION ADMR DE GARGES LES GONESSE,Garges-lès-Gonesse,95140,95,2021-10-05,2021-09-23,Autre jugement prononçant,Jugement prononçant,A202101945768,ADMR DE GARGES-LES-GONESSE (ADMR DE GARGES-LES-G),9220,NN,88.10A,PME,A
404060865,association COMITE DES AMIS DE L’INSTITUT CULTUREL ITALIEN - COMAMICI,Grenoble,38000,38,2022-07-24,2022-07-11,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202201422218,COMITE AMIS DE INSTITUT CULTUREL ITALIEN,9220,NN,85.59A,PME,A
491617742,ASSOCIATION GROUPEMENT D’EMPLOYEURS DE LA PLAINE DE KERVEYER,Cléder,29233,29,2022-11-29,2022-11-14,Jugement de clôture pour extinction du passif,Jugement de clôture,A202202313025,GROUPEMENT D EMPLOYEURS DE LA PLAINE DE KERVEYER,9223,NN,78.30Z,,A
510306061,ASSOCIATION LA FRANCAISE D’ANIMATION,Nîmes,30900,30,2021-11-07,2021-10-21,Autre jugement prononçant,Jugement prononçant,A202102172302,LA FRANCAISE D ANIMATION,9220,NN,90.01Z,PME,A
429640485,ASSOCIATION GROUPEMENT D’EMPLOYEURS VERGERS VOISINS,Saint-Gilles,30800,30,2022-11-27,2022-11-17,Autre jugement prononçant,Jugement prononçant,A202202302462,GROUPEMENT EMPLOYEUR VERGERS VOISIN RIOU,9223,NN,78.30Z,PME,A
402383889,Association HOCKEY SUR GLACE YONNAIS (HOGLY),La Roche-sur-Yon,85000,85,2020-09-27,2020-05-26,Dépôt de l'état des créances Loi de 1985,Avis de dépôt,A202001883457,HOCKEY GLACE YONNAIS (HOGLY),9220,03,93.12Z,PME,A
352702039,Association CECOFIA,Marguerittes,30320,30,2021-10-20,2021-09-16,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202102051703,CECOFIA,9220,NN,94.99Z,PME,A
820739027,ASSOCIATION GROUPEMENT D’EMPLOYEURS LA PLAINE AOX COTEAUX,Clairac,47320,47,2022-11-23,2022-10-20,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202272155,GROUPEMENT D EMPLOYEURS LA PLAINE AUX COTEAUX,9223,03,78.30Z,PME,A
782228019,ASSOCIATION ADESSA DU GRAND VILLENEUVOIS ADEDOM 47,Villeneuve-sur-Lot,47300,47,2022-08-16,2022-08-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202201582575,ADEDOM 47 (ADESSA DVG),9220,NN,88.10A,PME,A
491530077,ASSOCIATION C Par L E S Mo,Montauban,82000,82,2022-11-22,2022-11-15,Jugement modifiant le plan de redressement,Extrait de jugement,A202202262796,C PAR L E S MO,9220,02,94.99Z,PME,A
393706817,ASSOCIATION SPORTS OUVRIERS,Armentières,59280,59,2022-11-22,2022-11-04,Autre jugement et ordonnance,Extrait de jugement,A202202262705,SPORTS OUVRIERS ARMENTIEROIS BASKET BALL (SOA),9220,02,93.12Z,PME,A
499882512,L’ASSOCIATION BEFFROIS MEDIATION FAMILIALE,Lille,59000,59,2022-11-22,2022-11-04,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202262708,BEFFROIS MEDIATION FAMILIALE,9220,NN,94.99Z,PME,A
819433418,ASSOCIATION GROUPEMENT D’EMPLOYEURS SLBMO,Villenave,40110,40,2021-04-30,2021-04-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202100852627,GROUPEMENT D'EMPLOYEURS SLBMO,9223,NN,94.99Z,PME,A
434038998,ASSOCIATION ACTEURS DE L’ECONOMIE SOLIDAIRE,Marcq-en-Barœul,59700,59,2021-06-23,2021-05-21,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101213392,ACTEURS DE L'ECONOMIE SOLIDAIRE,9220,NN,94.99Z,PME,A
484787379,ASSOCIATION AVANCE SERVICES,Vitry-sur-Seine,94400,94,2022-11-20,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202252376,AVANCE -SERVICES,9220,NN,88.10A,PME,A
407791680,ASSOCIATION LA COMPAGNIE D’AHAN,Saint-Sauflieu,80160,80,2022-11-20,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202252294,LA COMPAGNIE D'AHAN,9220,NN,90.02Z,PME,A
537927634,ASSOCIATION HARLEY DAVIDSON CLUB KELTIA,Ablon-sur-Seine,94480,94,2022-11-20,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202252377,HARLEY-DAVIDSON CLUB KELTIA,9220,NN,94.99Z,,A
483096400,ASSOCIATION LA REGIE DES QUARTIERS DE LAGABARE (AGIR BATIR REUSSIR POUR L’EMPLOI),Bègles,33130,33,2022-06-12,2022-06-03,Autre jugement prononçant,Jugement prononçant,A202201132030,AGIR BATIR REUSSIR  POUR L' EMPLOI (LAGABARE),9220,NN,88.99B,,A
450820550,ASSOCIATION REGIMARK,Vire,14500,14,2022-11-18,2022-10-31,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202242728,REGIMARK,9220,NN,94.99Z,,A
414593673,ASSOCIATION SOHO MUSIC,Bordeaux,33000,33,2020-02-23,2020-02-07,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202000381445,SOHO MUSIC,9220,NN,90.01Z,PME,A
797436359,ASSOCIATION ESPACE NANSOUTY,Bordeaux,33800,33,2022-03-24,2022-03-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202200592136,ESPACE NANSOUTY,9220,NN,94.12Z,PME,A
494579071,ASSOCIATION VACANCES LOISIRS JEUNES TESTERINES,La Teste-de-Buch,33260,33,2022-02-27,2022-02-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202200412110,VACANCES LOISIRS JEUNES TESTERINES,9220,NN,93.29Z,PME,A
423426501,ASSOCIATION GUADE FORMAT TRAVAILLEURS SOCIAUX,Les Abymes,97139,971,2022-11-17,2022-10-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202232576,ASS GUADE FORMAT TRAVAILLEURS SOCIAUX (AGFTS),9220,NN,85.59A,PME,A
534598073,ASSOCIATION MENLA LING,Paris,75009,75,2022-11-17,2022-11-03,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202232418,MENLA LING,9220,NN,94.99Z,PME,A
803588235,ASSOCIATION PEPS MAYOTTE,Mamoudzou,97600,976,2022-11-17,2022-02-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202232582,,,,,,
380966283,Association EQUINIOXE,Paris,75012,71,2020-09-24,2020-09-14,Dépôt de l'état des créances,Avis de dépôt,A202001862441,ASSOC DEVELOPP TELE ASSISTANCE EQUINOXE,9220,NN,88.10A,PME,A
433491107,ASSOCIATION COMITE REGIONAL SPORTS POUR TOUS - ILE DE LA REUNION,Le Piton-Saint-Leu,97424,974,2022-11-17,2022-10-25,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202232581,COMITE REGIONAL SPORTS POUR TOUS ILE DE LA REUNION (CRSPT),9220,NN,93.12Z,PME,A
534368139,ASSOCIATION HARAS DE LA MERLUCHERIE,Saint-Valérien,89150,89,2021-12-07,2021-11-22,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202102373003,HARAS DE LA MERLUCHERIE,9220,NN,85.51Z,PME,A
819827288,ASSOCIATION KAIROS GE,Annequin,62149,62,2022-09-09,2021-07-06,Dépôt de l'état des créances,Avis de dépôt,A202201751990,KAIROS - GE (MPGE),9223,NN,78.30Z,PME,A
793799800,ASSOCIATION MONTESSORI TOURBILLON DE JOIE,Entre-Deux,97414,974,2021-06-04,2021-04-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101083938,ASSOCIATION MONTESSORI  TOURBILLON DE JOIE,9220,NN,85.10Z,PME,A
442973475,ASSOCIATION AGENCE LOCALE DE L’ENERGIE ET DU CLIMAT DE L’EURE,Louviers,27400,27,2022-11-08,2022-10-17,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202172462,AGENCE LOCALE DE L'ENERGIE ET DU CLIMAT DE L'EURE (ALEC27),9220,NN,94.99Z,PME,A
448498790,ASSOCIATION L’ESCALE,Grenoble,38100,38,2021-02-16,2021-01-28,Dépôt de l'état de collocation,Avis de dépôt,A202100324951,L ESCALE,9220,NN,94.99Z,,C
392612941,L’ASSOCIATION AIDE FAMILIALE POPULAIRE “A.A.F.P. DU VAL D’OISE”,Ennery,95300,95,2020-01-24,2019-10-07,Dépôt de l'état des créances,Avis de dépôt,A202000173006,ASSOCIATION AIDE FAMILIALE POPULAIRE,9220,NN,88.99B,PME,A
351813522,ASSOCIATION ECOLE DE MUSIQUE ET DE DANSE DE PIA,Pia,66380,66,2021-11-17,2021-11-04,Autre jugement prononçant,Jugement prononçant,A202102233221,ECOLE MUSIQUE LOUIS TORCATIS VILLE PIA,9220,NN,94.99Z,PME,A
512341462,ASSOCIATION REGIONALE DE FORMATION ET D’INFORMATION EN SANTE AU TRAVAIL,Quimper,29000,29,2022-01-14,2021-12-07,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202200101856,ASS REGIONALE DE FORMATION ET D'INFORMATION EN SANTE AU TRAVAIL (AFST),9220,NN,85.59A,,A
349965798,Association MONTMARTRE UN VILLAGE,Paris,75018,75,2020-09-02,2020-08-13,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A20200170998,MONTMARTRE UN VILLAGE (T.O.M),9220,NN,79.11Z,PME,A
399423367,ASSOCIATION COMPAGNIE FLEX,Nancy,54000,54,2021-07-30,2021-07-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101472312,FLEX,9220,NN,90.01Z,PME,A
405357302,ASSOCIATION CHOUVAL BWA KILTIREL - CBK,Le Marin,97290,972,2022-11-03,2022-09-27,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A20220214265,ASSOC CHOUVAL BWA KILTIREL (CBK),9220,NN,90.01Z,,A
493510853,ASSOCIATION NATHAN ET DENIS CARAIBES,Fort-de-France,97200,972,2022-11-03,2022-09-27,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A20220214266,NATHAN ET DENIS CARAIBES (N&D),9220,NN,94.99Z,,A
442672812,ASSOCIATION “MEDICIS”,Rennes,35000,35,2022-06-24,2022-06-07,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202201221614,ENSEMBLE MEDICIS,9220,NN,90.02Z,PME,A
852153477,ASSOCIATION MAM’ANS LIONNES,Grues,85580,85,2021-09-30,2021-09-16,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101912037,MAM'ANS LIONNES,9220,NN,88.91A,,A
379629389,ASSOCIATION FAMILLES RURALES AFR LE CAMPAGNOL,Rosières,43800,43,2022-10-26,2022-10-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202082518,FAMILLES RURALES,9220,NN,90.04Z,,C
438376022,ASSOCIATION UNIFIEE DU COLLEGE CEVENOL,Le Chambon-sur-Lignon,43400,43,2021-12-30,2021-12-08,Dépôt de l'état de collocation,Avis de dépôt,A202102541798,ASSOCIATION UNIFIEE DU COLLEGE CEVENOL (AUCC),9220,NN,85.31Z,,C
449672559,ASSOCIATION COURLYGONES,Villeurbanne,69100,69,2022-04-28,2022-04-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202200832016,COURLYGONES,9220,NN,94.99Z,,C
305395295,ASSOCIATION FDGDON 13,Arles,13200,13,2021-08-06,2021-07-22,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101521752,F.D.G.D.O.N. 13,9220,NN,94.99Z,PME,A
534548771,ASSOCIATION SEW & LAINE,Bègles,33130,33,2021-07-20,2021-04-26,Dépôt de l'état des créances,Avis de dépôt,A202101392824,ASSOCIATION SEW & LAINE,9220,NN,94.99Z,PME,A
837904788,ASSOCIATION GROUPEMENT D’EMPLOYEURS DE BERGONZAT,Saint-Paul-d'Espis,82400,82,2021-08-04,2021-07-22,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202101503003,GROUPEMENT EMPLOYEUR BERGONZAT (GPB),9223,11,01.25Z,,A
450132089,ASSOCIATION DOMIPRO SERVICES 31,Castanet-Tolosan,31320,31,2022-02-06,2022-01-25,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202200261539,DOMIPRO SERVICES 31,9220,NN,81.21Z,PME,A
494985088,ASSOCIATION RAYON DE SOLEIL 33,Bordeaux,33200,33,2022-10-16,2022-10-07,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202011859,,,,,,
537452658,ASSOCIATION MIROIR,Epinay-sur-Seine,93800,93,2022-10-16,2022-10-06,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202012188,ASSOCIATION MIROIR,9220,NN,90.01Z,PME,A
795370873,ASSOCIATION COLIBRIDANSEVOYAGE,Saint Jean de Monts,85160,85,2021-08-27,2021-08-11,Dépôt de l'état des créances,Avis de dépôt,A202101671306,COLIBRIDANSEVOYAGE (CLUB5),9220,NN,85.52Z,PME,A
809163215,ASSOCIATION ETOILE SPORTIVE,Perpignan,66000,66,2020-07-23,2020-07-02,Autre jugement prononçant,Jugement prononçant,A202001411075,ETOILE SPORTIVE BASKET PERPIGNANAIS,9220,NN,93.12Z,PME,A
789963881,ASSOCIATION MEDITERRANNEENNE DE RENOVATION DES SIEGES,Solliès-Pont,83210,83,2020-10-14,2020-10-01,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202002001215,ASSO MEDITERRANNEENNE DE RENOVATION DES SIEGES (AMRS),9220,NN,94.99Z,,C
424716165,ASSOCIATION TM 71,Fontanès-de-Sault,11140,11,2022-10-13,2022-09-29,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201991295,ASSOCIATION TM 71,9220,NN,91.04Z,PME,A
439654245,ASSOCIATION LES HELICONIAS DU LAMENTIN,Le Lamentin,97232,972,2021-08-15,2021-07-20,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202101581629,LES HELICONIAS DU LAMENTIN,9220,11,88.91A,PME,A
538233073,ASSOCIATION GESTION RIE AURELIUM,Boulogne-Billancourt,92100,92,2022-10-12,2022-09-23,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201982668,GESTION RIE AURELIUM,9220,NN,56.29A,,A
378618102,ASSOCIATION LES FRIPOUNETS DU LAMENTIN,Le Lamentin,97232,972,2021-08-15,2021-07-20,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202101581628,ASS LES FRIPOUNETS DU LAMENTIN,9220,11,88.91A,PME,A
792543100,ASSOCIATION NATIONALE DE PROMOTIONS DES PREMIERS SECOURS,Roanne,42300,42,2022-10-09,2022-09-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201961917,ASSOCIATION NATIONALE DE PROMOTIONS DES PREMIERS SECOURS (ANPPS),9220,NN,58.11Z,PME,A
751354184,ASSOCIATION TI CHODIE,Les Abymes,97139,971,2022-10-07,2022-09-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201952576,TI CHODIE,9220,NN,88.91A,PME,A
511181562,ASSOCIATION ORIGINE CARAIBES,Le Gosier,97190,971,2022-10-07,2022-09-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201952573,ORIGINE CARAIBE,9220,NN,94.99Z,,C
537539868,ASSOCIATION ACTION JEUNESSE ANTILLAISE,Petit-Bourg,97170,971,2022-10-07,2022-09-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201952570,ACTION JEUNESSE ANTILLAISE (AJA),9220,NN,94.99Z,PME,A
775648009,ASSOCIATION ENTREPRISE & PERSONNEL,Paris,75011,75,2021-12-14,2021-12-02,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202102423637,ENTREPRISE ET PERSONNEL,9220,NN,70.22Z,PME,A
532941192,ASSOCIATION CITOYENNES INTERCULTURELLES DE PARIS 20 EME (CIP 20),Paris,75020,75,2022-07-13,2022-06-30,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202201352618,CITOYENNES INTERCULTURELLES DE PARIS 20EME,9220,NN,56.21Z,PME,A
502179294,ASSOCIATION AL MASRYAH,Sainte-Anne,97180,971,2022-10-07,2022-09-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201952571,AL MASRYAH,9220,NN,90.01Z,,A
807585278,ASSOCIATION SIRI 02,Morne-à-l'Eau,97111,971,2022-10-07,2022-09-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201952575,SIRI 02,9220,NN,94.99Z,PME,A
451185243,ASSOCIATION NIHON BUDO KAN ANBK,Paris,75020,75,2022-10-07,2022-09-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202201952358,ASSOCIATION NIHON BUDO KAN (ANBK),9220,NN,93.12Z,,A
808967996,ASSOCIATION PRESTA SWING,Baie-Mahault,97122,971,2022-10-07,2022-09-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201952574,ASSOCIATION PRESTA'SWING,9220,NN,94.99Z,,C
442925681,ASSOCIATION LES CAPUCINES,La Rivière-Saint-Sauveur,14600,14,2022-10-07,2022-09-23,Dépôt de l'état des créances,Avis de dépôt,A202201951648,ASS LES CAPUCINES FAMILLES RURALES,9220,NN,88.91A,,C
750519340,ASSOCIATION LIB’AIR T,Sainte-Anne,97180,971,2022-10-07,2022-09-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201952572,LIB AIR T,9220,NN,94.99Z,,C
752161265,ASSOCIATION CENTRE DES FESTIVALS FRANCE-RUSSIE,Bordeaux,33200,33,2022-10-06,2022-09-23,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202201942006,CENTRE DES FESTIVALS FRANCE-RUSSIE,9220,NN,59.14Z,PME,A
829440817,ASSOCIATION CENTRE DE SANTE DENTAIRE LIRIDENT,Toulouse,31000,31,2022-10-05,2022-09-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202201932970,CENTRE DE SANTE DENTAIRE LIRIDENT,9220,00,86.23Z,PME,A
534246715,ASSOCIATION AIDE AUX MAJEURS PROTEGES,Hamel,59151,59,2022-10-05,2022-09-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202201933146,ASSOCIATION D'AIDE AUX MAJEURS PROTEGES (2AMP),9220,NN,88.10A,PME,A
881149017,"ASSOCIATION PEACH (PLATEFORME D’ECHANGES, D’ACCOMPAGNEMENTS ET DE CONSEILS AU HANDICAP)",Toulouse,31300,31,2022-02-22,2022-02-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202200373203,"PEACH - PLATEFORME D'ECHANGES, D'ACCOMPAGNEMENTS ET DE CONSEILS AU HANDICAP",9220,NN,88.10B,PME,A
