siren,expected_label,title,age_rapport_crc,synthese_crc,recent_pdf,recent_date,recent_age,recent_score,recent_niveau,recent_statut,recent_resultat_net,recent_fonds_propres,recent_tresorerie,recent_detail,contemp_pdf,contemp_date,contemp_lag,contemp_score,contemp_niveau,contemp_statut,contemp_resultat_net,contemp_fonds_propres,contemp_tresorerie,contemp_detail,error
413812264,,Association Laval Mayenne Technopole (Mayenne),2.0,"Instances mal définies, délégations absentes, non-respect convention collective RH, procédures d'achats insuffisantes.",413812264_31122024.pdf,2024-12-31,1.3,57,C,excedent,119359,444800,690932,"{""rentabilite"":17.9,""solidite"":10.6,""liquidite"":15.4,""autonomie"":2.6,""gouvernance"":10}",413812264_31122023.pdf,2023-12-31,0.4,59,C,excedent,74203,325440,855565,"{""rentabilite"":17.1,""solidite"":7.9,""liquidite"":20,""autonomie"":4.4,""gouvernance"":10}",
414469726,,"Association ""Plan Séquence"" (Pas-de-Calais)",4.9,Instances de gouvernance défaillantes et dépendance critique aux subventions publiques (2/3 du budget). Prérogatives excessives de la direction.,414469726_31122024.pdf,2024-12-31,1.3,30,D,excedent,26991,67369,121371,"{""rentabilite"":16.0,""solidite"":5.2,""liquidite"":4.4,""autonomie"":4.7,""gouvernance"":0}",414469726_31122020_rectif1.pdf,2020-12-31,0.5,51,C,excedent,8889,67226,333588,"{""rentabilite"":15.7,""solidite"":4.6,""liquidite"":20,""autonomie"":0.5,""gouvernance"":10}",
418167557,,Association Nantes Saint-Nazaire Développement (Loire-Atlantique),2.9,"Structure associative de façade, gouvernance défaillante, conflits d'intérêts, RH coûteuse, dépendance aux subventions publiques.",418167557_31122024.pdf,2024-12-31,1.3,51,C,deficit,-94743,677541,1345521,"{""rentabilite"":13.6,""solidite"":12.9,""liquidite"":13.6,""autonomie"":1.3,""gouvernance"":10}",418167557_31122022.pdf,2022-12-31,0.5,55,C,deficit,-164763,812241,1514348,"{""rentabilite"":12.9,""solidite"":13.9,""liquidite"":15.4,""autonomie"":2.6,""gouvernance"":10}",
422626598,,Association départementale de la Vienne de parents de personnes handicapées mentales et d'amis (ADAPEI 86) - (Vienne),3.4,"Absence de lisibilité trésorier, contrôle interne défaillant, taux occupation faibles, vétusté immobilisations progressive.",422626598_31122024.pdf,2024-12-31,1.3,49,C,deficit,-474847,7254288,9862264,"{""rentabilite"":13.3,""solidite"":9.5,""liquidite"":13.0,""autonomie"":3.3,""gouvernance"":10}",422626598_31122021.pdf,2021-12-31,0.9,56,C,excedent,1089086,7805210,10995441,"{""rentabilite"":16.2,""solidite"":9.8,""liquidite"":15.9,""autonomie"":3.9,""gouvernance"":10}",
422808949,,Association Pôle de compétitivité filière équine (Calvados),2.4,"Situation financière confortable mais dépendance accrue aux subventions publiques (60% en 2021). Manquements conformité: fonds dédiés sans autorisation, notes de frais présidente non autorisées, pas de suivi de trésorerie.",422808949_31122024.pdf,2024-12-31,1.3,57,C,ambigu,1100,372573,438476,"{""rentabilite"":14.6,""solidite"":11.7,""liquidite"":18.0,""autonomie"":12.6,""gouvernance"":0}",422808949_31122022.pdf,2022-12-31,0.9,51,C,deficit,-55120,344515,324600,"{""rentabilite"":0,""solidite"":22.0,""liquidite"":15.5,""autonomie"":13.8,""gouvernance"":0}",
424319929,,Association Laval Virtual (Mayenne),2.4,"Gouvernance institutionnelle défaillante, absence de procédures formalisées RH et achats, contrôles internes insuffisants.",424319929_31122014.pdf,2014-12-31,11.4,48,C,excedent,5658,56759,151823,"{""rentabilite"":15.3,""solidite"":9.3,""liquidite"":6.6,""autonomie"":6.6,""gouvernance"":10}",424319929_31122014.pdf,2014-12-31,,48,C,excedent,5658,56759,151823,"{""rentabilite"":15.3,""solidite"":9.3,""liquidite"":6.6,""autonomie"":6.6,""gouvernance"":10}",
430125260,,"Association ""Mission locale pour l'insertion, la formation et l'emploi en Picardie maritime"" (Somme)",5.6,"Crédits en hausse mais accompagnements jeunes en baisse, indicateurs emploi/insertion stagnants, déficit 2018.",430125260_31122023.pdf,2023-12-31,2.4,51,C,excedent,107702,628514,1019069,"{""rentabilite"":16.5,""solidite"":7.9,""liquidite"":11.5,""autonomie"":4.8,""gouvernance"":10}",430125260_31122019.pdf,2019-12-31,0.8,42,C,deficit,-19054,496618,551829,"{""rentabilite"":14.8,""solidite"":6.7,""liquidite"":6.5,""autonomie"":4.4,""gouvernance"":10}",
434388211,,Association Pôle Image Haute-Normandie - Rouen (Seine-Maritime),9.5,"Projet stratégique en impasse, absence de développement, stagnation des membres, dépendance critique aux subventions publiques.",434388211_31122016.pdf,2016-12-31,9.3,38,D,ambigu,70357,506828,701115,"{""rentabilite"":14.5,""solidite"":2.7,""liquidite"":18.1,""autonomie"":2.7,""gouvernance"":0}",434388211_31122015.pdf,2015-12-31,0.9,49,C,ambigu,56450,508846,1099778,"{""rentabilite"":14.6,""solidite"":2.5,""liquidite"":20,""autonomie"":1.8,""gouvernance"":10}",
441768140,,Association Laval Économie (Mayenne),2.9,"Association financée quasi-exclusivement par EPCI. Rémunérations élevées, procédures manquantes, non-respect commande publique.",441768140_31122021.pdf,2021-12-31,4.4,67,B,excedent,148927,589495,237439,"{""rentabilite"":22.0,""solidite"":25,""liquidite"":9.0,""autonomie"":0.9,""gouvernance"":10}",441768140_31122021.pdf,2021-12-31,,67,B,excedent,148927,589495,237439,"{""rentabilite"":22.0,""solidite"":25,""liquidite"":9.0,""autonomie"":0.9,""gouvernance"":10}",
442529996,,"Association ""Comité de gestion du théâtre du Beauvaisis"" (Oise)",5.5,"Structure associative cooptée inadaptée à gestion équipement public. Déficit 2018, dépendance 77% subventions. Recommande EPCC.",442529996_31122024.pdf,2024-12-31,1.3,47,C,excedent,34954,301979,906070,"{""rentabilite"":15.4,""solidite"":6.4,""liquidite"":13.0,""autonomie"":2.3,""gouvernance"":10}",,,,,,,,,,,
480522333,,"Association ""La Renaissance"" de Mondeville (Calvados)",7.6,"Statuts imprécis, articulation CA/AG défaillante, dépendance critique aux subventions publiques (85%), déficits récurrents.",480522333_31082019.pdf,2019-08-31,6.7,55,C,ambigu,1805,170810,471678,"{""rentabilite"":14.3,""solidite"":8.1,""liquidite"":20,""autonomie"":2.3,""gouvernance"":10}",480522333_31082018.pdf,2018-08-31,0.1,56,C,ambigu,8237,178113,393420,"{""rentabilite"":14.8,""solidite"":8.3,""liquidite"":20,""autonomie"":2.4,""gouvernance"":10}",
488625468,,Association La Frontera Production (Pyrénées-Orientales),1.2,"Immixtion de sociétés prestataires dans la gouvernance, conflits d'intérêts, contrôle de gestion insuffisant, résultats faibles.",488625468_31122024.pdf,2024-12-31,1.3,35,D,ambigu,244882,327673,1137886,"{""rentabilite"":14.8,""solidite"":2.2,""liquidite"":3.6,""autonomie"":14.3,""gouvernance"":0}",488625468_31122024.pdf,2024-12-31,,35,D,ambigu,244882,327673,1137886,"{""rentabilite"":14.8,""solidite"":2.2,""liquidite"":3.6,""autonomie"":14.3,""gouvernance"":0}",
492560933,,"Association ""Passado 14"" - Maison des adolescents du Calvados",1.2,"Anomalies caisse, absence contrôle interne, statuts à améliorer, restructuration 2021 clarifiée, dépendance subventions importante",492560933_31122024.pdf,2024-12-31,1.3,58,C,deficit,-37094,536895,809888,"{""rentabilite"":13.9,""solidite"":12.1,""liquidite"":16.5,""autonomie"":5.4,""gouvernance"":10}",492560933_31122024.pdf,2024-12-31,,58,C,deficit,-37094,536895,809888,"{""rentabilite"":13.9,""solidite"":12.1,""liquidite"":16.5,""autonomie"":5.4,""gouvernance"":10}",
509761649,,Association Mission locale de la Mayenne (Mayenne),4.4,"Statuts obsolètes, instances mal formalisées, règlement intérieur non respecté, prévention conflits d'intérêts défaillante.",509761649_31122021.pdf,2021-12-31,4.4,65,B,excedent,598871,1175690,1268704,"{""rentabilite"":25.5,""solidite"":21.6,""liquidite"":17.8,""autonomie"":0.5,""gouvernance"":0}",509761649_31122020.pdf,2020-12-31,0.9,49,C,excedent,64402,576818,1089331,"{""rentabilite"":16.4,""solidite"":12.8,""liquidite"":20,""autonomie"":0.2,""gouvernance"":0}",
511605628,,"Association ""Les nuits secrètes"" (Nord)",3.4,"Irrégularités de gouvernance persistantes : quorum non respecté, procès-verbaux imprécis, non-publication des comptes. Non-application du code commandes publiques.",511605628_31122024.pdf,2024-12-31,1.3,34,D,excedent,53390,-4726,50028,"{""rentabilite"":15.5,""solidite"":0,""liquidite"":0.4,""autonomie"":7.8,""gouvernance"":10}",511605628_31122021.pdf,2021-12-31,0.9,26,D,excedent,8982,87312,313067,"{""rentabilite"":15.2,""solidite"":2.2,""liquidite"":3.8,""autonomie"":4.4,""gouvernance"":0}",
512940370,,Association Matisse (Pas-de-Calais),2.3,"Défaillances comptables et de gouvernance : enregistrements en fonds dédiés non conformes, imputations de produits à redresser, procès-verbaux incomplets.",512940370_31122023.pdf,2023-12-31,2.4,69,B,deficit,-139863,1116551,871868,"{""rentabilite"":9.7,""solidite"":21.9,""liquidite"":17.8,""autonomie"":9.5,""gouvernance"":10}",512940370_31122023.pdf,2023-12-31,,69,B,deficit,-139863,1116551,871868,"{""rentabilite"":9.7,""solidite"":21.9,""liquidite"":17.8,""autonomie"":9.5,""gouvernance"":10}",
518926472,,Association Mlezi Maore (Mayotte),1.8,"Gouvernance distante, concentration des pouvoirs, contrôles internes défaillants, dépendance quasi-exclusive aux financements publics fragilisant l'association.",518926472_31122024.pdf,2024-12-31,1.3,55,C,excedent,1424944,8423625,7670387,"{""rentabilite"":17.1,""solidite"":9.6,""liquidite"":7.1,""autonomie"":11.1,""gouvernance"":10}",518926472_31122023.pdf,2023-12-31,0.5,48,C,deficit,-830130,7207281,5522760,"{""rentabilite"":14.1,""solidite"":9.1,""liquidite"":5.2,""autonomie"":9.5,""gouvernance"":10}",
523091668,,"Association Lorient Grand Large, à Lorient (Morbihan)",4.7,"Activités déficitaires (pôle entraînement -134k€ 2019), dépendance critique à Lorient agglomération, projet immobilier stratégique en attente.",523091668_31122024.pdf,2024-12-31,1.3,62,B,excedent,130009,260086,220275,"{""rentabilite"":21.5,""solidite"":25,""liquidite"":11.4,""autonomie"":3.6,""gouvernance"":0}",523091668_31122020.pdf,2020-12-31,0.7,75,B,excedent,49664,212910,120089,"{""rentabilite"":23.3,""solidite"":25,""liquidite"":14.2,""autonomie"":2.6,""gouvernance"":10}",
537869695,,Association ADO 66 - Maison des adolescents 66 (Pyrénées-Orientales),1.3,"Lisibilité défaillante, partenariats à approfondir, risques juridiques sur sous-location, transparence financière insuffisante.",537869695_31122024.pdf,2024-12-31,1.3,72,B,excedent,47732,381054,464285,"{""rentabilite"":17.7,""solidite"":23.5,""liquidite"":20,""autonomie"":0.3,""gouvernance"":10}",537869695_31122024.pdf,2024-12-31,,72,B,excedent,47732,381054,464285,"{""rentabilite"":17.7,""solidite"":23.5,""liquidite"":20,""autonomie"":0.3,""gouvernance"":10}",
751070400,,Association formation et ingénierie (AFI) (Ain),0.8,"Gouvernance défaillante, imbrication financière problématique avec ADSEA 01, situation bilantielle dégradée avec fonds propres négatifs.",751070400_31122021.pdf,2021-12-31,4.4,39,D,deficit,-36400,-32882,230598,"{""rentabilite"":12.2,""solidite"":0,""liquidite"":15.4,""autonomie"":1.5,""gouvernance"":10}",751070400_31122021.pdf,2021-12-31,,39,D,deficit,-36400,-32882,230598,"{""rentabilite"":12.2,""solidite"":0,""liquidite"":15.4,""autonomie"":1.5,""gouvernance"":10}",
775605405,,Association Adapei Loire-Atlantique (Loire-Atlantique),0.9,"Statuts à adapter, gouvernance à clarifier, écosystème complexe à rendre lisible, dépendance aux subventions publiques importante.",775605405_31122024.pdf,2024-12-31,1.3,46,C,deficit,-777577,48139489,19024204,"{""rentabilite"":14.3,""solidite"":14.4,""liquidite"":5.2,""autonomie"":2.4,""gouvernance"":10}",775605405_31122024.pdf,2024-12-31,,46,C,deficit,-777577,48139489,19024204,"{""rentabilite"":14.3,""solidite"":14.4,""liquidite"":5.2,""autonomie"":2.4,""gouvernance"":10}",
775715105,,Association Adapei-Aria de Vendée,0.9,"Déséquilibre gouvernance-dirigeance, pilotage interne défaillant, contrôle interne insuffisant, plan retour équilibre en cours.",775715105_31122024.pdf,2024-12-31,1.3,36,D,excedent,429463,22833389,28684540,"{""rentabilite"":15.1,""solidite"":8.8,""liquidite"":9.2,""autonomie"":2.7,""gouvernance"":0}",775715105_31122024.pdf,2024-12-31,,36,D,excedent,429463,22833389,28684540,"{""rentabilite"":15.1,""solidite"":8.8,""liquidite"":9.2,""autonomie"":2.7,""gouvernance"":0}",
778921569,,Association Mulhouse Olympic Natation (MON) (Haut-Rhin),2.9,"Statuts défaillants, rémunération dirigeant illégale, comptabilité fragmentée, déficits récurrents, dépendance critique aux subventions publiques.",778921569_30092020.pdf,2020-09-30,5.6,36,D,excedent,89015,-143240,57817,"{""rentabilite"":20.0,""solidite"":0,""liquidite"":2.3,""autonomie"":4.1,""gouvernance"":10}",778921569_30092020.pdf,2020-09-30,,36,D,excedent,89015,-143240,57817,"{""rentabilite"":20.0,""solidite"":0,""liquidite"":2.3,""autonomie"":4.1,""gouvernance"":10}",
780794251,,Association Jules Ledein (Eure),3.1,"Dysfonctionnements de gouvernance : non-respect des statuts, instances réunies irrégulièrement, deux directeurs sans qualification requise.",780794251_31122023.pdf,2023-12-31,2.4,28,D,deficit,-453968,3283743,3053024,"{""rentabilite"":14.0,""solidite"":4.8,""liquidite"":6.4,""autonomie"":2.3,""gouvernance"":0}",780794251_31122022.pdf,2022-12-31,0.2,42,C,ambigu,-473913,11156896,3193933,"{""rentabilite"":15.6,""solidite"":16.9,""liquidite"":6.9,""autonomie"":2.3,""gouvernance"":0}",
780807848,,Association Eure Expansion (Eure),9.6,"Respect insuffisant des règles de commande publique, marchés publics non formalisés, gouvernance peu rigoureuse, impact opérationnel mal évalué.",780807848_31122011.pdf,2011-12-31,14.4,61,B,excedent,28020,339790,414793,"{""rentabilite"":16.3,""solidite"":16.0,""liquidite"":17.6,""autonomie"":1.3,""gouvernance"":10}",780807848_31122011.pdf,2011-12-31,,61,B,excedent,28020,339790,414793,"{""rentabilite"":16.3,""solidite"":16.0,""liquidite"":17.6,""autonomie"":1.3,""gouvernance"":10}",
780956652,,Fondation Normandie Générations (Orne),0.8,"Défaillances RH, gouvernance insuffisante, système d'information fragile, résultats déficitaires IME Ségur 2023.",780956652_31122024.pdf,2024-12-31,1.3,54,C,deficit,-1241292,13106053,8776683,"{""rentabilite"":14.0,""solidite"":8.7,""liquidite"":6.9,""autonomie"":14.7,""gouvernance"":10}",780956652_31122024.pdf,2024-12-31,,54,C,deficit,-1241292,13106053,8776683,"{""rentabilite"":14.0,""solidite"":8.7,""liquidite"":6.9,""autonomie"":14.7,""gouvernance"":10}",
802060814,,Association Choose Paris Région,5.6,Efficacité difficile à mesurer malgré résultats positifs. Gouvernance en cours de rénovation. Fusion recommandée avec acteurs locaux.,802060814_31122024.pdf,2024-12-31,1.3,52,C,excedent,508918,3895541,7852316,"{""rentabilite"":16.3,""solidite"":10.1,""liquidite"":13.1,""autonomie"":2.0,""gouvernance"":10}",802060814_31122019_rectif1.pdf,2019-12-31,0.7,50,C,excedent,747870,852121,4362678,"{""rentabilite"":21.1,""solidite"":3.4,""liquidite"":12.1,""autonomie"":3.0,""gouvernance"":10}",
824658389,,Association Seine-Maritime Attractivité (Seine-Maritime),5.9,Association transparente du département avec contrôle excessif et conflits d'intérêts des élus. Dépendance financière quasi-totale aux subventions.,824658389_31122017.pdf,2017-12-31,8.4,51,C,excedent,123928,779417,655466,"{""rentabilite"":16.7,""solidite"":14.5,""liquidite"":8.1,""autonomie"":1.8,""gouvernance"":10}",824658389_31122017.pdf,2017-12-31,,51,C,excedent,123928,779417,655466,"{""rentabilite"":16.7,""solidite"":14.5,""liquidite"":8.1,""autonomie"":1.8,""gouvernance"":10}",
882525413,,Association maison des adolescents de l'Aveyron,1.5,"Gouvernance insuffisamment clarifiée, statuts à actualiser, comptabilité analytique requise pour multi-dispositifs, dépendance ARS importante.",882525413_31122024.pdf,2024-12-31,1.3,59,C,excedent,3846,38546,194351,"{""rentabilite"":15.4,""solidite"":2.4,""liquidite"":15.7,""autonomie"":15.0,""gouvernance"":10}",882525413_31122023.pdf,2023-12-31,0.9,65,B,deficit,-2456,165800,161380,"{""rentabilite"":15.0,""solidite"":14.1,""liquidite"":17.5,""autonomie"":8.4,""gouvernance"":10}",
903489128,,Association « Anef Loire » à Saint-Étienne (Loire),5.1,"Association en croissance. Manque d'évaluation des dispositifs innovants (PMPMF, MOS). Absence référentiel intervention.",903489128_31122024.pdf,2024-12-31,1.3,77,B,ambigu,0,19833,26553,"{""rentabilite"":14.9,""solidite"":23.3,""liquidite"":13.4,""autonomie"":15.0,""gouvernance"":10}",903489128_31122020.pdf,2020-12-31,0.2,90,A,excedent,7081,22081,22081,"{""rentabilite"":30,""solidite"":25,""liquidite"":20,""autonomie"":15.0,""gouvernance"":0}",
